EntrezID	Length	MCL1-LA_BC2CTUACXX_GATCAG_L001_R1
100040320	811	3
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	252
94332	4159	22
383619	2541	7
240921	2951	0
545384	1294	0
623121	2680	0
236312	3497	0
100033459	2987	0
100504251	716	0
226691	3484	11
15951	2296	21
100504287	1468	15
666028	634	4
100040462	1908	7
381308	1651	9
15950	3793	40
26388	1796	463
226695	1613	6
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	1
23893	3745	5
24012	2487	0
14194	1632	1782
98256	2498	0
13603	1721	92
12663	6117	798
75820	3817	0
26909	5506	154
319455	3894	0
545389	6930	190
723921	99	0
76816	2619	153
15365	1510	39
23797	4735	692
30928	5106	822
75589	698	0
69428	749	21
11566	2553	2884
631584	2790	61
545391	1663	4
78825	4214	1243
791357	1199	14
75164	651	1
666295	875	8071
320110	427	5
66359	448	468
51810	3670	13291
68226	2539	34
269152	7406	38
69726	3769	360
15278	2448	158
226744	4545	596
109232	1922	589
226747	8831	3520
100503705	1428	0
226751	8656	2023
67426	4076	247
19165	2084	375
277333	3581	3
320404	5101	1307
381310	6557	10
11545	3827	1802
72568	3377	384
27217	2294	0
170760	3471	2094
100504581	591	0
15078	1076	507
208768	3189	2084
100504598	177	1
320202	2462	0
100862334	599	0
69051	1599	234
13590	1604	3
208795	3239	1013
13849	1665	3277
619326	1898	0
67459	3060	658
98417	3268	915
226757	7047	5213
329307	2505	4
72978	2727	11
403180	1819	6
240960	13996	8
98386	3552	1107
433384	1343	0
13800	4288	896
27058	1388	575
625823	921	0
13244	2005	1315
67330	686	0
67948	4913	1148
209456	4370	4369
12334	3185	2334
170725	3705	458
433386	2055	0
96935	2035	167
53791	3199	197
68897	5030	66
71678	3456	720
108909	3293	414
338366	6678	2758
21339	2386	704
78772	2736	1006
73363	967	19
63953	2712	499
73590	778	0
74971	1722	0
15284	2149	6
66112	2161	1
67247	1883	1164
100316821	82	0
226777	2853	1970
226778	4565	31
98732	6988	1344
100217449	113	0
381314	3540	1724
387189	67	0
387211	112	1
23827	2182	1054
107508	4850	4035
319562	3406	0
100039138	2761	0
226781	5836	0
114668	709	0
226791	1577	379
21808	4725	1286
67223	1213	828
110957	3212	61
74717	1645	6
69308	823	0
67769	4565	473
100862400	1119	46
26381	5580	266
320272	2212	0
22283	15891	0
226823	3703	1195
16526	3959	2
100042424	516	505
100039307	642	0
108000	11130	309
19250	10746	1496
226830	1605	1681
19130	4139	132
100504619	832	0
320119	3995	423
52477	3349	857
226841	4190	37
226844	4087	3137
100125339	1649	1
75558	428	0
68972	1258	125
381318	2973	70
381319	712	16
619288	2234	156
11910	1977	47262
100504360	568	54
100861628	406	2
66208	658	208
66950	4204	219
226849	3082	634
100504379	2421	1
76843	4202	984
77065	3252	1434
226856	7246	6509
18005	3197	347
98736	4362	7
22782	5230	1513
74023	3720	1
22033	2102	24
100628582	81	0
100042625	720	634
214742	1597	246
100038712	2612	13
16510	7143	1937
226861	2835	234
320952	2041	1
73455	404	0
214791	3401	1180
100503471	624	178
329324	1731	5
215193	5548	439
54139	4125	3576
319266	3834	210
215243	2121	0
15483	1446	19
14373	843	0
100503531	873	0
16780	4055	1697
215303	2453	4
387201	68	0
74942	578	0
18845	11036	72
100628615	64	0
12490	2621	103
320400	2491	8
320977	5195	24
723963	81	0
387224	88	0
17221	1213	13
12946	1662	1036
12902	6207	0
215728	2801	0
619314	1938	0
670558	2817	0
76142	2524	11
70337	1540	3
213783	7415	518
270685	4332	279
83397	6247	1022
381990	3227	1056
66084	1849	111
73419	2290	147
100504234	2151	69
13982	4319	1810
64009	18115	461
68632	2777	18
22353	1527	0
67141	1807	130
108853	2621	115
56533	8191	0
100041224	522	0
18390	2639	0
320495	8240	2
215748	3448	582
